# cell_number,T2_degC,LON,LAT
1.640000000000000000e+02,2.833231811523437500e+02,-1.547549438476562500e+01,2.795132064819335938e+01
1.650000000000000000e+02,2.835463562011718750e+02,-1.547320556640625000e+01,2.795128631591796875e+01
1.660000000000000000e+02,2.836949462890625000e+02,-1.547091674804687500e+01,2.795125961303710938e+01
1.670000000000000000e+02,2.838326721191406250e+02,-1.546865844726562500e+01,2.795123291015625000e+01
1.680000000000000000e+02,2.839684143066406250e+02,-1.546636962890625000e+01,2.795121765136718750e+01
1.690000000000000000e+02,2.841018981933593750e+02,-1.546408081054687500e+01,2.795118331909179688e+01
1.700000000000000000e+02,2.842387695312500000e+02,-1.546179199218750000e+01,2.795115661621093750e+01
1.710000000000000000e+02,2.843664550781250000e+02,-1.545953369140625000e+01,2.795113754272460938e+01
1.720000000000000000e+02,2.844606933593750000e+02,-1.545724487304687500e+01,2.795109558105468750e+01
1.730000000000000000e+02,2.845992431640625000e+02,-1.545495605468750000e+01,2.795108032226562500e+01
1.740000000000000000e+02,2.847416076660156250e+02,-1.545269775390625000e+01,2.795104217529296875e+01
1.750000000000000000e+02,2.848900146484375000e+02,-1.545040893554687500e+01,2.795101928710937500e+01
1.760000000000000000e+02,2.850141906738281250e+02,-1.544812011718750000e+01,2.795099258422851562e+01
1.770000000000000000e+02,2.851748046875000000e+02,-1.544583129882812500e+01,2.795097351074218750e+01
1.780000000000000000e+02,2.853432312011718750e+02,-1.544357299804687500e+01,2.795094680786132812e+01
1.790000000000000000e+02,2.855449218750000000e+02,-1.544128417968750000e+01,2.795091629028320312e+01
1.800000000000000000e+02,2.857257385253906250e+02,-1.543899536132812500e+01,2.795087814331054688e+01
1.810000000000000000e+02,2.859155883789062500e+02,-1.543670654296875000e+01,2.795087051391601562e+01
1.820000000000000000e+02,2.861054687500000000e+02,-1.543444824218750000e+01,2.795082855224609375e+01
1.830000000000000000e+02,2.863507080078125000e+02,-1.543215942382812500e+01,2.795080947875976562e+01
1.840000000000000000e+02,2.865465393066406250e+02,-1.542987060546875000e+01,2.795078277587890625e+01
1.850000000000000000e+02,2.867409057617187500e+02,-1.542761230468750000e+01,2.795075225830078125e+01
1.860000000000000000e+02,2.869482116699218750e+02,-1.542532348632812500e+01,2.795072555541992188e+01
1.870000000000000000e+02,2.871352844238281250e+02,-1.542303466796875000e+01,2.795069885253906250e+01
1.880000000000000000e+02,2.873078613281250000e+02,-1.542074584960937500e+01,2.795068359375000000e+01
1.890000000000000000e+02,2.874646301269531250e+02,-1.541848754882812500e+01,2.795065307617187500e+01
1.900000000000000000e+02,2.874479064941406250e+02,-1.541619873046875000e+01,2.795063018798828125e+01
1.910000000000000000e+02,2.875612487792968750e+02,-1.541390991210937500e+01,2.795060348510742188e+01
1.920000000000000000e+02,2.876712036132812500e+02,-1.541162109375000000e+01,2.795056915283203125e+01
1.930000000000000000e+02,2.877724914550781250e+02,-1.540936279296875000e+01,2.795053482055664062e+01
1.940000000000000000e+02,2.879680786132812500e+02,-1.540707397460937500e+01,2.795050811767578125e+01
1.950000000000000000e+02,2.880481567382812500e+02,-1.540478515625000000e+01,2.795049285888671875e+01
1.960000000000000000e+02,2.881462402343750000e+02,-1.540249633789062500e+01,2.795046615600585938e+01
1.970000000000000000e+02,2.882279052734375000e+02,-1.540023803710937500e+01,2.795043182373046875e+01
1.980000000000000000e+02,2.881795349121093750e+02,-1.539794921875000000e+01,2.795039749145507812e+01
1.990000000000000000e+02,2.882216186523437500e+02,-1.539566040039062500e+01,2.795038604736328125e+01
2.000000000000000000e+02,2.882648315429687500e+02,-1.539340209960937500e+01,2.795035171508789062e+01
2.010000000000000000e+02,2.791668395996093750e+02,-1.561914062500000000e+01,2.795487976074218750e+01
2.020000000000000000e+02,2.790696411132812500e+02,-1.561685180664062500e+01,2.795485305786132812e+01
2.030000000000000000e+02,2.789291992187500000e+02,-1.561459350585937500e+01,2.795483779907226562e+01
2.040000000000000000e+02,2.787245483398437500e+02,-1.561230468750000000e+01,2.795480346679687500e+01
2.050000000000000000e+02,2.784721679687500000e+02,-1.561001586914062500e+01,2.795479202270507812e+01
2.060000000000000000e+02,2.781630859375000000e+02,-1.560772705078125000e+01,2.795475769042968750e+01
2.070000000000000000e+02,2.778814392089843750e+02,-1.560546875000000000e+01,2.795474243164062500e+01
2.080000000000000000e+02,2.775993652343750000e+02,-1.560317993164062500e+01,2.795471572875976562e+01
2.090000000000000000e+02,2.773211364746093750e+02,-1.560089111328125000e+01,2.795468902587890625e+01
2.100000000000000000e+02,2.771016235351562500e+02,-1.559860229492187500e+01,2.795466613769531250e+01
2.110000000000000000e+02,2.768119812011718750e+02,-1.559634399414062500e+01,2.795463180541992188e+01
